C̢mera,Classe 0,Classe 1
1,936,0
5,5,0
13,2572,0
14,180,15
16,11,0
17,564,0
18,3098,0
19,900,0
20,235,0
22,495,0
24,4,0
25,9,0
26,24,0
27,18,0
31,18,0
32,963,495
35,45,0
36,45,0
37,15,0
38,2835,945
44,475,648
45,522,0
46,11,0
48,45,0
49,0,405
58,2350,0
61,49,0
65,4446,0
68,192,0
69,45,0
74,135,0
77,366,290
79,45,0
88,96,0
90,540,0
92,4076,276
93,10,0
94,225,225
96,1504,0
97,1628,0
98,11,0
99,15,0
103,0,15
105,50,0
106,212,0
107,142,0
112,420,0
114,924,225
115,900,0
116,9,0
117,180,0
120,443,0
122,45,0
124,14,0
126,18,0
127,1459,0
131,45,0
136,135,585
138,630,0
142,39,0
145,135,0
147,45,0
149,45,0
150,50,0
151,277,0
153,45,0
158,180,135
159,0,90
160,495,540
161,590,0
169,418,0
173,45,0
174,457,0
175,90,0
176,0,135
178,6,0
179,45,0
182,312,0
183,495,0
190,45,0
192,90,0
196,45,0
201,450,0
203,1160,0
206,0,2
207,15,0
209,45,0
217,810,0
218,45,0
226,3414,0
230,225,0
235,7889,3021
240,611,0
243,45,0
247,7,0
249,3460,0
255,675,0
257,45,0
259,1890,0
261,31,529
262,434,624
263,60,0
267,6321,288
268,69,19
269,1107,817
273,3632,0
278,14305,10310
286,9,0
290,25,0
294,45,0
298,2207,6045
299,5402,0
300,9,0
301,0,78
302,26,451
303,135,0
310,528,135
312,0,595
313,850,1558
315,45,0
326,10354,1112
328,45,0
331,495,0
333,15,0
339,331,125
341,1245,135
342,109,0
345,0,45
357,4,0
358,38,0
361,45,0
363,1440,0
365,951,130
367,0,101
370,430,0
378,0,90
384,162,225
390,225,0
392,0,24
398,0,225
404,405,0
407,52,0
410,45,0
414,225,0
416,45,0
418,232,0
421,233,0
423,0,180
425,90,0
430,1155,585
432,467,0
442,202,630
446,21,0
448,7,0
454,322,0
455,367,0
457,0,14
460,344,0
472,14,0
480,45,0
482,3097,0
484,135,0
500,0,5
516,0,7
517,6,0
532,90,0
547,135,0
550,945,0
561,45,810
571,0,7
572,0,108
596,45,45
600,10,0
661,131,0
662,147,0
663,61,0
664,136,0
680,315,0
681,19,0
705,180,0
724,270,45
758,269,0
766,810,10
767,810,0
770,1796,0
782,45,0
793,45,0
842,1706,0
846,945,0
869,900,0
894,45,0
923,60,0
963,495,0
1000,18,0
1008,74,0
1010,270,0
1014,11,0
1015,100,0
1018,0,4
1020,64,0
1026,838,0
1027,928,0
1061,135,0
1073,1269,0
1080,810,0
1083,1495,1134
1092,322,0
1099,0,720
1110,9,0
1111,54,0
1119,264,1203
1120,169,25
1121,171,0
1123,945,0
1128,0,14
1132,0,90
1138,32,1052
1139,17,1175
1141,945,0
1144,45,0
1147,195,315
1156,207,0
1157,189,0
1161,208,0
1162,203,0
1169,17,1621
1170,18,1468
1182,45,225
1215,0,45
1216,54,90
1220,8,0
1221,363,0
1222,992,0
1223,45,0
1267,45,0
1271,45,0
1294,45,0
1303,87,0
1311,0,90
1314,9,0
1338,15,0
1383,900,0
1385,90,0
1387,180,0
1389,6,0
1390,0,16
1391,116,0
1392,343,0
1393,690,858
1397,90,0
1403,277,504
1404,282,1622
1405,225,1397
1410,18,54
1426,0,9
1427,15,0
1428,0,45
1430,232,180
1431,277,73
1459,1851,0
1460,2756,0
1461,5383,0
1462,5604,0
1468,724,0
1469,665,0
1474,1048,3448
1475,884,3737
1476,394,0
1477,495,0
1487,1836,1742
1492,45,0
1506,720,0
1507,450,0
1509,0,180
1514,360,163
1515,0,135
1524,387,1122
1525,382,1375
1528,2361,0
1529,1103,0
1531,135,0
1534,28,3234
1535,135,242
1538,2028,5640
1539,2266,45
1544,0,45
1545,9,0
1546,1035,0
1547,482,0
1548,15,0
1551,9,0
1556,826,0
1557,867,0
1566,180,0
1574,5,0
1575,1592,0
1576,1102,0
1577,9,0
1583,945,0
1584,41,0
1585,298,0
1587,495,0
1588,1512,0
1591,495,0
1598,1970,0
1599,52,0
1600,1963,0
1601,1956,0
1603,495,0
1606,127,109
1612,20,19
1613,16,0
1623,8,0
1629,9,0
1635,1076,924
1636,977,987
1637,37,0
1638,4455,0
1639,5158,0
1644,630,0
1646,0,1063
1648,365,1148
1649,448,1279
1651,0,720
1661,495,0
1671,2700,630
1676,6,0
1677,6,0
1690,15,0
1701,9,0
1703,18,0
1726,2925,0
1727,45,45
1745,24,0
1821,10,0
1857,9,0
1881,2560,540
1882,0,45
1884,45,45
1887,7,0
1907,0,45
1922,0,9
1926,7,0
1954,42,0
1965,765,9
1972,90,0
1981,45,0
1985,9,0
1994,1708,122
2001,45,0
2002,26,270
2004,9,0
2005,431,0
2015,772,0
2017,360,97
2038,15,0
2040,60,0
2047,89,0
2051,45,0
2052,374,0
2053,374,0
2054,412,0
2055,450,0
2076,6,0
2088,14,0
2105,5,0
2107,54,0
2126,8,0
2138,0,45
2140,20,0
2156,315,0
2157,315,0
2158,277,0
2160,0,9
2161,9,0
2165,1506,0
2166,1463,0
2167,1439,0
2190,30,0
2194,45,0
2195,0,9
2202,0,7
2204,450,0
2205,434,0
2206,922,0
2214,0,180
2216,540,45
2218,45,0
2219,4031,0
2221,180,225
2228,9,0
2233,0,9
2238,405,0
2239,0,180
2243,0,275
2246,758,0
2268,101,0
2270,90,225
2277,18,630
2278,90,45
2280,630,225
2296,250,0
2301,90,0
2308,9,0
2327,45,0
2347,720,0
2349,0,360
2360,45,0
2361,45,45
2365,30,374
2368,0,156
2379,42,0
2387,45,0
2396,45,225
2401,39,0
2426,135,0
2431,0,4
2445,15,0
2460,9,0
3016,14,0
3019,6,0
3100,0,45
3103,0,218
3104,90,0
3114,1063,0
3127,1181,0
3133,720,90
3134,45,450
3135,2706,135
3147,45,0
3162,15,0
3181,7378,0
3197,45,0
3206,0,6
3215,24,0
3217,9,0
3220,141,45
3221,0,45
3224,450,0
3254,0,15
3255,0,24
3260,405,0
3261,8720,0
3262,426,0
3263,957,0
3264,93,0
3265,2304,0
3266,45,0
3268,140,0
3269,45,0
3270,1042,90
3278,35,0
3286,60,0
3287,0,15
3290,1191,306
3318,3060,0
3323,90,495
3324,45,0
3346,15,0
3347,45,270
3358,180,0
3448,45,0
3533,315,0
3545,277,0
3550,0,15
3558,270,0
3581,90,0
3594,0,6
3596,9,0
3600,0,14
3627,0,135
3638,45,0